GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 340,Opening Balance Deposits,0,Deposit Contribution,43
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 282,Opening Balance Deposits,"119,173",Deposit Contribution,44
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 316 ,Opening Balance Deposits,43500,Deposit Contribution,45
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 317,Opening Balance Deposits,88000,Deposit Contribution,46
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 193,Opening Balance Deposits,99320,Deposit Contribution,47
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 279,Opening Balance Deposits,,Deposit Contribution,48
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 180,Opening Balance Deposits,64327,Deposit Contribution,49
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 334,Opening Balance Deposits,28000,Deposit Contribution,50
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 250,Opening Balance Deposits,166203,Deposit Contribution,51
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 223,Opening Balance Deposits,154192,Deposit Contribution,52
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 246,Opening Balance Deposits,193926,Deposit Contribution,53
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 124,Opening Balance Deposits,280720,Deposit Contribution,54
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 336,Opening Balance Deposits,26700,Deposit Contribution,55
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 181,Opening Balance Deposits,186938,Deposit Contribution,56
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 309,Opening Balance Deposits,206280,Deposit Contribution,57
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 101,Opening Balance Deposits,353826,Deposit Contribution,58
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 087,Opening Balance Deposits,,Deposit Contribution,59
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 160,Opening Balance Deposits,579876,Deposit Contribution,60
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 107,Opening Balance Deposits,458618,Deposit Contribution,61
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 176,Opening Balance Deposits,217440,Deposit Contribution,62
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 333,Opening Balance Deposits,32753,Deposit Contribution,63
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 098,Opening Balance Deposits,593187,Deposit Contribution,64
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 045,Opening Balance Deposits,,Deposit Contribution,65
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 100,Opening Balance Deposits,111606,Deposit Contribution,66
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 105,Opening Balance Deposits,157719,Deposit Contribution,67
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 327,Opening Balance Deposits,120026,Deposit Contribution,68
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 310,Opening Balance Deposits,93953,Deposit Contribution,69
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 210,Opening Balance Deposits,181256,Deposit Contribution,70
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 329,Opening Balance Deposits,40500,Deposit Contribution,71
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 146,Opening Balance Deposits,220934,Deposit Contribution,72
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 197,Opening Balance Deposits,130723,Deposit Contribution,73
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 113,Opening Balance Deposits,105728,Deposit Contribution,74
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 158,Opening Balance Deposits,286183,Deposit Contribution,75
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 257,Opening Balance Deposits,66150,Deposit Contribution,76
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 145,Opening Balance Deposits,63260,Deposit Contribution,77
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 328,Opening Balance Deposits,247172,Deposit Contribution,78
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 144,Opening Balance Deposits,376643,Deposit Contribution,79
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 103,Opening Balance Deposits,204197,Deposit Contribution,80
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 232,Opening Balance Deposits,308580,Deposit Contribution,81
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 112,Opening Balance Deposits,128371,Deposit Contribution,82
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 276,Opening Balance Deposits,123133,Deposit Contribution,83
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 111,Opening Balance Deposits,125071,Deposit Contribution,84
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 195,Opening Balance Deposits,94675,Deposit Contribution,85
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 030,Opening Balance Deposits,723600,Deposit Contribution,86
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 116,Opening Balance Deposits,596294,Deposit Contribution,87
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 020,Opening Balance Deposits,743364,Deposit Contribution,88
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 303,Opening Balance Deposits,,Deposit Contribution,89
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 304,Opening Balance Deposits,,Deposit Contribution,90
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 306,Opening Balance Deposits,41700,Deposit Contribution,91
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 307,Opening Balance Deposits,0,Deposit Contribution,92
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 165,Opening Balance Deposits,104876,Deposit Contribution,93
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 184,Opening Balance Deposits,322889,Deposit Contribution,94
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 163,Opening Balance Deposits,,Deposit Contribution,95
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 171,Opening Balance Deposits,,Deposit Contribution,96
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 226,Opening Balance Deposits,49574,Deposit Contribution,97
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 219,Opening Balance Deposits,266588,Deposit Contribution,98
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 217,Opening Balance Deposits,296582,Deposit Contribution,99
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 212,Opening Balance Deposits,,Deposit Contribution,100
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 211,Opening Balance Deposits,289862,Deposit Contribution,101
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 281,Opening Balance Deposits,49103,Deposit Contribution,102
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 008,Opening Balance Deposits,384797,Deposit Contribution,103
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 004,Opening Balance Deposits,1766079,Deposit Contribution,104
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 001,Opening Balance Deposits,1622030,Deposit Contribution,105
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 002,Opening Balance Deposits,711199,Deposit Contribution,106
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 351,Opening Balance Deposits,11200,Deposit Contribution,107
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 209,Opening Balance Deposits,157307,Deposit Contribution,108
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 350,Opening Balance Deposits,12200,Deposit Contribution,109
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 177,Opening Balance Deposits,0,Deposit Contribution,110
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 214,Opening Balance Deposits,,Deposit Contribution,111
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 347,Opening Balance Deposits,62300,Deposit Contribution,112
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 198,Opening Balance Deposits,77295,Deposit Contribution,113
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 344,Opening Balance Deposits,40243,Deposit Contribution,114
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 131,Opening Balance Deposits,533371,Deposit Contribution,115
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 205,Opening Balance Deposits,212539,Deposit Contribution,116
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 156,Opening Balance Deposits,309520,Deposit Contribution,117
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 169,Opening Balance Deposits,172686,Deposit Contribution,118
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 056,Opening Balance Deposits,207689,Deposit Contribution,119
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 173,Opening Balance Deposits,0,Deposit Contribution,120
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 015,Opening Balance Deposits,822426,Deposit Contribution,121
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 330,Opening Balance Deposits,30000,Deposit Contribution,122
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 348,Opening Balance Deposits,41199,Deposit Contribution,123
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 352,Opening Balance Deposits,21498,Deposit Contribution,124
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 353,Opening Balance Deposits,1500,Deposit Contribution,125
GENERAL,OPENBAL,01/08/2021,OPENBALDEPOSIT,Member,GS 192,Opening Balance Deposits,,Deposit Contribution,126
